210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,66.0,86.0,101.0,115.0,120.0,129.0,134.0,139.0,143.0,147.0,151.0,155.0,160.0,163.0,166.0,168.0,168.0,172.0,173.0,174.0,174.0,175.0,176.0,176.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,
283.0,46.0,31.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,75.0,99.0,118.0,132.0,138.0,161.0,174.0,181.0,188.0,199.0,202.0,207.0,217.0,218.0,226.0,234.0,233.0,237.0,237.0,239.0,240.0,244.0,245.0,246.0,246.0,247.0,247.0,249.0,249.0,249.0,249.0,249.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,
474.0,239.0,130.0,105.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,147.0,188.0,229.0,255.0,273.0,298.0,312.0,325.0,340.0,350.0,358.0,366.0,373.0,381.0,385.0,390.0,395.0,402.0,402.0,407.0,408.0,411.0,414.0,417.0,419.0,422.0,422.0,422.0,423.0,423.0,424.0,425.0,426.0,426.0,426.0,427.0,427.0,427.0,428.0,428.0,
611.0,605.0,324.0,267.0,254.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,288.0,318.0,334.0,366.0,388.0,410.0,437.0,450.0,464.0,476.0,481.0,483.0,499.0,508.0,512.0,518.0,523.0,526.0,531.0,539.0,539.0,540.0,544.0,545.0,545.0,549.0,549.0,550.0,550.0,550.0,550.0,552.0,553.0,557.0,557.0,557.0,557.0,557.0,557.0,
123.0,56.0,37.0,33.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,36.0,47.0,60.0,67.0,74.0,80.0,81.0,82.0,83.0,85.0,87.0,89.0,90.0,92.0,94.0,96.0,98.0,100.0,101.0,101.0,101.0,101.0,107.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,107.0,107.0,107.0,107.0,107.0,
128.0,59.0,36.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,37.0,52.0,57.0,63.0,68.0,72.0,75.0,82.0,86.0,90.0,95.0,95.0,97.0,97.0,100.0,103.0,105.0,105.0,106.0,106.0,106.0,108.0,110.0,110.0,110.0,110.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,113.0,113.0,113.0,113.0,
9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,



















































































































































































































































































































































































